#;Question;Question ID;Type of Question;User ID;Answer;Answer ID
1;I think that I would like to use this system frequently;1;Multiple Choices;average;1;
;;;;45;1;124
2;I found the system unnecessarily complex;2;Multiple Choices;average;2;
;;;;45;2;125
3;I thought the system was easy to use;3;Multiple Choices;average;no answer;
4;I think that I would need the support of a technical person to be able to use this system;4;Multiple Choices;average;4;
;;;;45;4;126
5;I found the various functions in this system were well integrated;5;Multiple Choices;average;no answer;
6;I thought there was too much inconsistency in this system;6;Multiple Choices;average;no answer;
7;I would imagine that most people would learn to use this system very quickly;7;Multiple Choices;average;no answer;
8;I found the system very cumbersome to use;8;Multiple Choices;average;no answer;
9;I felt very confident using the system;9;Multiple Choices;average;no answer;
10;I needed to learn a lot of things before I could get going with this system;10;Multiple Choices;average;no answer;
